Date,Open,High,Low,Close,Adj Close,Volume
2020-06-22,674.900024,687.049988,665.299988,672.700012,653.809448,214830
2020-06-23,676.000000,685.500000,670.099976,684.000000,664.792175,405094
2020-06-24,690.000000,718.349976,678.000000,681.700012,662.556702,722201
2020-06-25,675.000000,694.650024,667.900024,690.599976,671.206787,174606
2020-06-26,697.599976,733.750000,697.599976,705.099976,685.299561,425468
2020-06-29,698.049988,700.799988,684.500000,690.450012,671.061035,139789
2020-06-30,700.650024,707.450012,684.799988,689.349976,669.991882,63442
2020-07-01,693.000000,709.950012,687.400024,701.599976,681.897888,141411
2020-07-02,705.000000,712.900024,691.200012,697.900024,678.301819,139087
2020-07-03,null,null,null,null,null,null
2020-07-06,702.000000,712.500000,691.150024,697.500000,677.913025,90657
2020-07-07,703.900024,728.700012,695.000000,722.700012,702.405334,426509
2020-07-08,735.000000,783.900024,729.150024,758.200012,736.908508,397804
2020-07-09,753.000000,769.000000,714.099976,721.200012,700.947449,309156
2020-07-10,721.200012,728.599976,694.000000,699.099976,679.468140,162881
2020-07-13,704.099976,713.000000,682.049988,688.950012,669.603088,182279
2020-07-14,682.000000,698.099976,657.750000,674.599976,655.656067,220147
2020-07-15,692.000000,692.000000,651.299988,654.299988,635.926147,150049
2020-07-16,665.000000,679.400024,644.750000,673.900024,654.975769,108377
2020-07-17,680.000000,696.000000,676.500000,688.400024,669.068604,93266
2020-07-20,690.250000,706.549988,681.150024,690.750000,671.352539,117231
2020-07-21,700.500000,703.000000,677.400024,679.599976,660.515686,56179
2020-07-22,685.000000,703.799988,676.849976,694.900024,675.386047,263068
2020-07-23,698.000000,713.000000,693.000000,702.700012,682.967041,124456
2020-07-24,700.000000,710.849976,685.150024,706.650024,686.806091,167897
2020-07-27,710.000000,712.000000,680.000000,682.400024,663.237061,113289
2020-07-28,689.000000,714.450012,670.750000,698.349976,678.739136,207424
2020-07-29,701.299988,729.150024,692.000000,725.049988,704.689331,410341
2020-07-30,730.000000,736.250000,680.000000,683.400024,664.208984,360300
2020-07-31,683.450012,695.150024,672.400024,692.150024,672.713257,183662
2020-08-03,690.000000,704.299988,669.250000,671.049988,652.205811,176776
2020-08-04,670.599976,676.000000,646.299988,654.500000,636.120483,276387
2020-08-05,659.900024,669.349976,636.400024,642.349976,624.311646,277348
